Time (ms),RB_End_Effector,RB_Joint2 - o,RB_Joint1 - o,RB_Joint3 - o
3667,0.01472555,0.042505644,0.046543688,0.048868541
3700,0.002652425,-0.014259337,0.006897639,0.014102571
3733,-0.002744961,-0.003601742,0.006737136,0.004693007
3767,-0.008404959,0.053438753,0.048916049,0.027779263
3800,-0.01726643,0.085906222,0.086247824,0.045983233
3833,-0.022625001,0.055283543,0.077618979,0.014618664
3867,-0.009554752,-0.012999915,0.023453234,-0.058469597
3900,0.029469036,-0.066400617,-0.040169906,-0.106114104
3933,0.078175239,-0.065487951,-0.065361783,-0.075078942
3967,0.10461729,-0.008478641,-0.029559229,0.009866917
4000,0.091992483,0.057145208,0.034006689,0.079410642
4033,0.055586256,0.076676838,0.063177392,0.094205201
4067,0.023503803,0.049865909,0.039268967,0.066190369
4100,0.008084526,0.022067642,0.010379505,0.034086261
4133,0.002862194,0.027791975,0.030297086,0.031394165
4167,-0.001325306,0.065286823,0.09357518,0.057841584
4200,-0.006105762,0.100774661,0.138554469,0.074202344
4233,-0.005529481,0.087097548,0.109221831,0.036570843
4267,0.009707986,0.01076374,0.013181876,-0.050356861
4300,0.041149653,-0.077775471,-0.084912874,-0.118908271
4333,0.072662957,-0.105925933,-0.119684309,-0.103702135
4367,0.081983499,-0.05122089,-0.075409122,-0.019769309
4400,0.064354055,0.03194904,-0.001307487,0.054890048
4433,0.036016647,0.063199706,0.032717798,0.0680537
4467,0.015331809,0.024516104,0.011136818,0.036300942
4500,0.006331872,-0.021311473,-0.016380213,0.009489798
4533,-0.00287143,-0.013227653,-0.000311565,0.016129088
4567,-0.030488042,0.03909187,0.052889436,0.039505109
4600,-0.082235247,0.078833193,0.087498665,0.03293341
4633,-0.130979002,0.061664481,0.057407852,-0.033277165
4667,-0.126347288,-0.014233302,-0.019277286,-0.126413465
4700,-0.045754973,-0.107519239,-0.075215429,-0.171851829
4733,0.070398435,-0.153106779,-0.064424224,-0.133754179
4767,0.150102228,-0.111124128,-0.008581924,-0.050804254
4800,0.153717294,-0.019640064,0.019279575,0.013606264
4833,0.102158003,0.030066201,-0.036441419,0.028095476
4867,0.043708023,-0.003277874,-0.137959659,0.00291937
4900,0.000796544,-0.066911027,-0.180232137,-0.029894497
4933,-0.045543157,-0.087102413,-0.122189417,-0.046462547
4967,-0.123460568,-0.050006386,-0.032612227,-0.056567378
5000,-0.220611989,-0.004074669,0.007958793,-0.090484858
5033,-0.274906158,-0.006413268,-0.018471336,-0.146016166
5067,-0.2385059,-0.071678922,-0.087690637,-0.176979408
5100,-0.132089987,-0.156627834,-0.160775185,-0.15593721
5133,-0.012009232,-0.190594748,-0.186653405,-0.105599202
5167,0.07634607,-0.140144333,-0.133153141,-0.054163437
5200,0.106379442,-0.048462577,-0.037584685,-0.01229047
5233,0.083172083,0.001418781,0.011935328,0.005186266
5267,0.04204645,-0.026884459,-0.023656938,-0.009202712
5300,0.007511673,-0.079809375,-0.080450252,-0.028284393
5333,-0.030089887,-0.080632783,-0.071616836,-0.022911498
5367,-0.091898814,-0.024127863,0.004119873,-0.011165107
5400,-0.171677068,0.03013172,0.067831703,-0.036274835
5433,-0.223050103,0.030400369,0.053552337,-0.10214527
5467,-0.200399667,-0.029183863,-0.031069562,-0.158813477
5500,-0.108121768,-0.104983509,-0.12119922,-0.155309126
5533,0.005079567,-0.128035635,-0.145569697,-0.088793099
5567,0.08504916,-0.068316363,-0.078485005,0.001331985
5600,0.103738755,0.023320196,0.025948046,0.067676991
5633,0.075145625,0.062447257,0.074519061,0.08204212
5667,0.036697697,0.02673454,0.039708707,0.051862013
5700,0.008087772,-0.018795203,-0.011170864,0.014934646
5733,-0.022567444,-0.00680952,-0.007806587,0.002959942
5767,-0.073649719,0.052627083,0.046040148,0.005375647
5800,-0.134134427,0.094043531,0.09077768,-0.017286515
5833,-0.156990945,0.068152137,0.070783995,-0.071907513
5867,-0.105147734,-0.014938258,-0.017288875,-0.109847508
5900,-0.001315212,-0.091789044,-0.111041442,-0.089753971
5933,0.088984318,-0.099825658,-0.125447839,-0.025437281
5967,0.119823389,-0.032036301,-0.036913775,0.044696402
6000,0.095792368,0.059671778,0.076190755,0.089340478
6033,0.051904496,0.099949256,0.112915985,0.089075871
6067,0.018501556,0.057132334,0.067019455,0.053684484
6100,0.002088117,-0.00654087,0.019109629,0.024709795
