Time (ms),RB_Joint2,RB_Joint1,RB_Joint3
3200,47.27911377,-22.74329948,23.54837227
3233,89.80277252,19.23142052,19.78763771
3267,75.26481628,45.0252533,10.98427486
3300,34.66921616,31.33571243,-0.760404885
3333,6.776537418,6.611588478,-6.198498726
3367,3.825588942,-14.77431393,-13.22461128
3400,8.214155197,-28.08119392,-35.89188766
3433,-9.662633896,-17.28338242,-53.46408844
3467,-59.02994537,12.72822762,-34.38501358
3500,-110.1356659,34.86141968,12.59370708
3533,-108.9622269,32.99001694,52.16918564
3567,-34.91080093,6.671933174,53.78568649
3600,48.84331131,-23.47655296,15.29180336
3633,64.35943604,-25.38832283,-26.32689476
3667,25.66935158,-4.094117641,-34.08000946
3700,2.877387762,5.024594307,-11.82141781
3733,19.18418884,-5.124793053,10.47129345
3767,39.93478012,-12.7947197,14.90688801
3800,25.96892357,-7.023448944,10.5073576
3833,-31.58928299,8.248784065,10.29579258
3867,-101.1792908,27.28974533,4.022195816
3900,-127.7846603,39.58480072,-6.767624378
3933,-84.13974762,32.99739075,10.17817593
3967,-5.998254776,10.50694752,45.94353867
4000,40.23430252,-10.43768978,51.56010437
4033,31.51935959,-18.78493118,19.2705574
4067,5.404027939,-19.62750244,-18.12400818
4100,-7.311341763,-18.18865585,-32.36966705
4133,-17.48685265,-6.965563297,-19.74368477
4167,-32.78085709,13.65184021,-5.046826363
4200,-34.59545135,25.0331192,-8.952123642
4233,-7.745383263,23.3436718,-14.90268707
4267,46.45631409,27.32744789,-1.622238159
4300,104.0947952,36.07097626,22.48060989
4333,119.3336792,26.42258453,37.11988831
4367,77.2864151,-1.864436746,31.45168877
4400,17.65088081,-26.55925751,14.23746014
4433,-8.602861404,-37.67374802,4.717133045
4467,11.86916065,-37.94791412,6.990869045
4500,34.91766357,-27.76389694,7.544831753
4533,9.180388451,-9.711708069,-4.789669514
4567,-58.81305313,4.19708252,-23.88892555
4600,-101.9059372,5.508274078,-33.05743027
4633,-54.30921936,9.342673302,-22.26320457
4667,47.78799438,43.37115097,-0.978219688
4700,96.29377747,90.52629852,12.7478981
4733,69.71740723,84.31622314,26.06492233
4767,30.59836006,27.8542614,49.3782692
4800,8.744041443,-13.38013458,60.00037766
4833,-3.687277555,-39.25603104,42.15882874
4867,-9.041154861,-71.84320068,12.63571262
4900,-5.341992855,-79.29234314,-7.421068668
4933,2.88404727,-38.4497261,-10.06660557
4967,3.403892756,10.41084671,-8.219175339
5000,-24.34976006,23.40842247,-27.32703781
5033,-79.78954315,10.37375832,-62.09143829
5067,-102.2680588,1.692725658,-67.84661865
5100,-35.39386749,-1.343156576,-19.03819466
5133,65.75950623,-9.444101334,51.60272598
5167,99.0690155,-7.889278412,90.1960907
5200,54.19006729,14.48601151,74.82191467
5233,-2.711414099,31.39749146,29.02570915
5267,-25.17542648,17.12458038,-6.173295498
5300,-15.98233509,-12.95577526,-13.22102547
5333,0.098866984,-24.78846169,-10.1194706
5367,-4.104260445,-2.229783297,-25.90448189
5400,-48.33539963,40.42419815,-56.84472275
5433,-120.5569077,67.00435638,-68.570961
5467,-152.2167358,56.58797836,-40.87242889
5500,-67.07510376,23.75164032,15.70663452
5533,88.83377838,-5.643716812,62.09020996
5567,169.8568573,-15.67507935,60.85544968
5600,124.214325,-11.38968086,26.2989254
5633,31.67001534,-12.31769848,1.135587096
5667,-22.47374535,-19.53775406,1.372150779
5700,-20.62897873,-21.52165031,12.60231304
5733,-1.2685709,-21.91035652,4.212553024
5767,-18.9441433,-21.54378128,-35.6520462
5800,-96.034935,-9.305789948,-69.52766418
5833,-178.2752075,16.54059982,-61.30070877
5867,-156.6885376,36.35292816,-23.4564724
5900,-0.550018013,21.79765892,17.10357666
5933,164.1490021,-13.30268002,49.81133652
5967,202.4951019,-19.86211967,68.042099
6000,128.3264771,-0.536647916,62.51200867
6033,39.03791046,1.76382792,37.02993393
6067,-12.49453259,-4.240932465,7.141269684
6100,-26.62062645,19.26358986,-16.8578949
6133,-12.65661335,57.34326172,-32.91963196
6167,11.41293812,68.84030914,-43.53876495
6200,8.998944283,59.44538879,-51.06474304
6233,-30.50102997,50.72050476,-55.50361633
6267,-62.96648788,24.01289368,-48.4780159
6300,-50.17811966,-31.42494965,-10.56780434
6333,-7.812233925,-74.63565826,52.84219742
6367,26.60525894,-66.58839417,91.63452911
6400,33.0196228,-29.07058334,66.3912735
6433,15.14888191,-12.2191391,5.612673283
6467,-6.741088867,-12.53571892,-29.3650322
6500,-14.54133606,14.29176044,-25.1576004
6533,-6.125654697,67.85799408,-15.42704105
6567,9.280382156,103.6656647,-17.30059433
6600,15.55715561,96.66035461,-22.4338913
6633,3.975784779,55.21715927,-31.19904137
6667,-12.76203728,1.113662243,-39.32979584
6700,-16.64827728,-42.11180115,-14.93506241
6733,-4.532205582,-61.80979538,41.72842407
6767,11.00660992,-60.01461792,71.25235748
6800,12.87145615,-47.44406128,45.08180618
6833,4.085614204,-25.7097187,-0.006556981
6867,10.77639866,19.36870766,-24.4887886
6900,35.36138916,78.72905731,-22.53665161
6933,42.93275452,104.8725586,-14.09453869
6967,17.08206177,70.80351257,-22.52937698
7000,-15.54732037,20.63789368,-44.02818298
7033,-29.97636795,0.923919678,-47.73759079
7067,-29.94880867,-13.32194138,-18.98389435
7100,-22.81276131,-44.92290115,22.43317413
7133,-6.624087811,-57.29592896,44.43840408
7167,13.69282055,-25.93306541,32.16537476
7200,25.27839088,13.37808609,2.892243385
