Time (ms),RB_End_Effecter,RB_Joint2 - o,RB_Joint1 - o,RB_Joint3 - o
3667,-0.016060995,-0.118639745,-0.055900663,-0.089259908
3700,-0.012033408,-0.158063501,-0.09335202,-0.111697525
3733,-0.00273335,-0.129400343,-0.116756909,-0.113702923
3767,0.003983777,-0.099119559,-0.132155508,-0.115443811
3800,0.003014928,-0.110464662,-0.146706954,-0.127514943
3833,-0.005063295,-0.161067292,-0.161648944,-0.146921933
3867,-0.014151834,-0.220555663,-0.17069149,-0.161927819
3900,-0.017352836,-0.240425766,-0.163885683,-0.15774779
3933,-0.013744103,-0.185925558,-0.137641236,-0.128888041
3967,-0.009000742,-0.092641629,-0.102225482,-0.092024051
4000,-0.008100468,-0.039991375,-0.074093908,-0.073532827
4033,-0.009646761,-0.048098084,-0.059550472,-0.078996703
4067,-0.009663462,-0.062797159,-0.051603694,-0.087929681
4100,-0.009967017,-0.045055389,-0.043662928,-0.083022311
4133,-0.019880211,-0.016437434,-0.039786529,-0.071484655
4167,-0.046089128,-0.016054057,-0.047462936,-0.071670912
4200,-0.077808574,-0.050911613,-0.064282604,-0.088432282
4233,-0.089517005,-0.092083156,-0.076876543,-0.104396716
4267,-0.068607256,-0.101497352,-0.071422003,-0.092860147
4300,-0.031146917,-0.062937923,-0.044062614,-0.04511733
4333,-0.001884019,0.000355911,-0.005376434,0.01608417
4367,0.009499025,0.04325781,0.025278566,0.056890722
4400,0.008472669,0.041709423,0.034467027,0.060424514
4433,0.003844964,0.011559962,0.024885176,0.034615155
4467,0.000511444,-0.012988185,0.010717106,0.002828765
4500,-0.000755203,-0.011258411,0.004751015,-0.013813232
4533,-0.000787282,0.01170616,0.010315704,-0.010828614
4567,-0.000384557,0.037289999,0.021846199,0.000343823
4600,-3.55E-05,0.049736306,0.029639909,0.005515981
4633,-0.000171125,0.045262527,0.025750635,-0.000718975
4667,-0.001286852,0.031069277,0.00887432,-0.015824674
4700,-0.003433871,0.010830974,-0.015462684,-0.035873793
4733,-0.00551827,-0.02080307,-0.038826082,-0.056539673
4767,-0.006072914,-0.058553692,-0.05185432,-0.069271013
4800,-0.004912412,-0.074607179,-0.044077493,-0.062156647
4833,-0.002410734,-0.042445563,-0.008826255,-0.029562805
4867,0.002833807,0.034684464,0.048726365,0.023982881
4900,0.012962651,0.124584377,0.110424034,0.088848703
4933,0.025960419,0.184889019,0.152706519,0.145736858
4967,0.034182176,0.188071907,0.158394516,0.163839191
5000,0.031394538,0.139119521,0.126632303,0.126955882
5033,0.02021277,0.065156929,0.073676199,0.058334537
5067,0.009258162,-0.001788425,0.023452088,0.002517629
5100,0.004081035,-0.031310748,-0.005377293,-0.015075802
5133,0.003239822,-0.014101981,-0.007871532,-0.002828193
5167,0.002402937,0.021772671,0.008716392,0.015577124
5200,0.000368643,0.041504003,0.035402294,0.02579727
5233,0.00070163,0.050143141,0.070323654,0.034390852
5267,0.00862627,0.085455038,0.115320958,0.06090166
5300,0.024948798,0.159622476,0.163669676,0.110036008
5333,0.040540624,0.226526052,0.195643023,0.152561277
5367,0.042405311,0.224883825,0.191929132,0.14972423
5400,0.029570995,0.149289593,0.151808441,0.09960679
5433,0.014909612,0.057601541,0.094452374,0.044050705
5467,0.008894312,0.003551674,0.042525958,0.022013534
5500,0.009735274,-0.011918448,0.007522201,0.031901762
5533,0.0100573,-0.014947128,-0.010677624,0.048469268
5567,0.007007503,-0.018235302,-0.015864657,0.05667511
5600,0.003220528,-0.01763792,-0.010408973,0.057869121
5633,0.001034188,-0.00577898,0.003679275,0.05736465
5667,0.000255024,0.01940546,0.021776963,0.055960048
5700,0.002182531,0.047260374,0.035445783,0.048234593
5733,0.013054417,0.054118533,0.034773443,0.023997435
5767,0.037862848,0.028678892,0.015083026,-0.02317019
5800,0.066907793,-0.007215785,-0.019060133,-0.082877949
5833,0.076982915,-0.031307027,-0.060473725,-0.131515875
5867,0.05599989,-0.062460706,-0.106749333,-0.155352712
5900,0.018741425,-0.129342258,-0.154425427,-0.158236548
5933,-0.010227424,-0.205518991,-0.189866334,-0.14477247
5967,-0.021051146,-0.228879526,-0.195711121,-0.117765166
6000,-0.020849098,-0.18506439,-0.167343527,-0.091261409
6033,-0.018300068,-0.115267172,-0.117584601,-0.078086399
6067,-0.010918468,-0.052362151,-0.065495677,-0.067777418
6100,0.014076732,-0.004874611,-0.025853917,-0.038504574
6133,0.06706661,0.012931537,-0.007058429,0.016321419
6167,0.138786837,-0.013539504,-0.009207344,0.080465555
6200,0.195112765,-0.06361112,-0.021831607,0.125468299
6233,0.199860901,-0.085323431,-0.030229852,0.13078998
6267,0.149335235,-0.048958108,-0.028022287,0.09923432
6300,0.077799432,0.014003276,-0.023213767,0.052701756
6333,0.024353044,0.034443852,-0.030611798,0.010299003
6367,0.001448715,-0.020805931,-0.055083271,-0.027060304
6400,-0.002098202,-0.102571383,-0.082286738,-0.063734718
6433,0.00018121,-0.132638156,-0.090579703,-0.090312481
6467,0.002606785,-0.091158487,-0.071306415,-0.087700866
6500,0.003562438,-0.020411968,-0.034428976,-0.045224406
6533,-0.000644803,0.032789323,0.000450039,0.021481061
6567,-0.01662492,0.044841386,0.014584635,0.066320725
6600,-0.045503281,0.010105705,-0.001096344,0.045142867
6633,-0.073838957,-0.056150433,-0.039372824,-0.032121059
6667,-0.081284344,-0.116864197,-0.07875938,-0.097611733
6700,-0.060910478,-0.134676635,-0.096472539,-0.093633406
6733,-0.0268787,-0.099048316,-0.083927825,-0.032029651
6767,0.001031703,-0.036951255,-0.050942227,0.030688832
6800,0.014840304,0.006464195,-0.013687133,0.058062598
6833,0.015065645,0.012149047,0.02024002,0.055343196
6867,-0.003444099,0.012166213,0.053574651,0.045890447
6900,-0.051390477,0.051268384,0.087813377,0.042825222
6933,-0.123462975,0.121370591,0.111886591,0.036410555
6967,-0.183989197,0.158006564,0.105664432,0.006527673
7000,-0.19660677,0.10853833,0.058586881,-0.050145611
7033,-0.16322279,-0.009171295,-0.015446662,-0.109801367
7067,-0.110901095,-0.12055549,-0.084992409,-0.138797164
7100,-0.059596766,-0.163368702,-0.123633377,-0.122224115
7133,-0.019952165,-0.139699742,-0.125802323,-0.076837771
7167,0.002265411,-0.098202318,-0.102999963,-0.030341431
7200,0.008894973,-0.07140512,-0.06792669,0.006716322
7233,0.004448837,-0.047050949,-0.025847623,0.038818073
7267,-0.010371977,0.000293827,0.019618319,0.063210867
7300,-0.033885133,0.071500108,0.059347339,0.063789576
7333,-0.051518064,0.135271445,0.080319501,0.034929227
7367,-0.039240252,0.14760761,0.073403545,0.001722479
7400,0.006589901,0.090530492,0.041255664,-0.006568979
