Time (ms),RB_End_Effecter,RB_Joint2 - o,RB_Joint1 - o,RB_Joint3 - o
3700,-0.008605885,0.023082301,-0.004153919,0.002123165
3733,0.001088691,-0.001317358,-0.014147185,0.003965091
3767,0.012721108,-0.043226052,-0.041055679,0.003272438
3800,0.016237162,-0.085868597,-0.071603104,-0.007228946
3833,0.010256767,-0.117357723,-0.093106262,-0.024814794
3867,-0.000191832,-0.133967534,-0.101295941,-0.038573738
3900,-0.009362053,-0.140720546,-0.101775445,-0.041942883
3933,-0.011713742,-0.141586289,-0.101157755,-0.036144447
3967,-0.005945778,-0.132605687,-0.098582834,-0.026333138
4000,0.002283454,-0.106940597,-0.089328006,-0.018336009
4033,0.005421638,-0.068694584,-0.074198909,-0.014434432
4067,0.000483227,-0.03906269,-0.059761614,-0.011782263
4100,-0.008094191,-0.033759784,-0.049845882,-0.008264637
4133,-0.015115069,-0.040450431,-0.041530322,-0.009068584
4167,-0.023531768,-0.035288855,-0.030008981,-0.021939468
4200,-0.035216186,-0.012470339,-0.014867447,-0.042621803
4233,-0.039389666,0.013812589,-0.00085516,-0.052887149
4267,-0.026229927,0.026824377,0.006658601,-0.041115761
4300,-0.003021955,0.019178724,0.006629133,-0.016081523
4333,0.013984464,-0.001808023,0.003455114,0.005942058
4367,0.016423237,-0.016504811,0.003638792,0.016930388
4400,0.00905342,-0.010236025,0.010677338,0.018139742
4433,0.001671767,0.012384509,0.022079229,0.015098762
4467,-0.001206064,0.035181426,0.030483911,0.012188815
4500,-0.001142693,0.045031358,0.02733135,0.008866882
4533,-0.000490308,0.03218665,0.006773185,0.001627064
4567,6.84E-05,-0.010040331,-0.030098388,-0.009654808
4600,0.000664473,-0.071452759,-0.073080391,-0.019662952
4633,0.000701451,-0.12438482,-0.107549995,-0.024687765
4667,-0.001893711,-0.148413271,-0.12248525,-0.027602861
4700,-0.008359908,-0.141759098,-0.114390127,-0.032365318
4733,-0.014715241,-0.109178059,-0.087549016,-0.038048171
4767,-0.01381427,-0.059733149,-0.052646965,-0.039745327
4800,-0.004394352,-0.01304655,-0.022430848,-0.033276841
4833,0.005643904,0.010124159,-0.00596323,-0.020182515
4867,0.002367639,0.004270935,-0.004977321,-0.00915699
4900,-0.028791044,-0.016777324,-0.013673543,-0.011386871
4933,-0.084244683,-0.031707,-0.022394229,-0.029233644
4967,-0.126959816,-0.029922435,-0.023546645,-0.047785088
5000,-0.118398964,-0.017167425,-0.015387296,-0.048484892
5033,-0.066997282,-0.003325367,-0.001236534,-0.032537553
5067,-0.014971946,0.007244968,0.013635349,-0.016643999
5100,0.013037681,0.012552164,0.024464605,-0.009634781
5133,0.020343017,0.013331221,0.029018352,-0.007299041
5167,0.016306471,0.016458463,0.028319547,-0.003846073
5200,0.008070802,0.025130508,0.023692844,0.000526714
5233,0.001029718,0.028750561,0.014000987,0.001597595
5267,-0.004460406,0.012954138,-0.0014112,-0.000366211
5300,-0.009808051,-0.018748568,-0.017020939,0.002195549
5333,-0.011006033,-0.038268469,-0.020788765,0.013604735
5367,-0.004341495,-0.01723709,-0.002986479,0.027765939
5400,0.0038185,0.039507292,0.032748554,0.036009405
5433,0.004678023,0.093775451,0.069656178,0.035821151
5467,-0.001012731,0.113420956,0.091818802,0.030544851
5500,-0.006445741,0.102863066,0.096207321,0.023911282
5533,-0.007298397,0.085633993,0.090146825,0.016389083
5567,-0.003798473,0.073263496,0.081692934,0.008311271
5600,0.00199374,0.066267297,0.075251624,0.00272398
5633,0.007687389,0.066301197,0.071771905,0.002395534
5667,0.008631491,0.070430942,0.068413064,0.007248687
5700,0.003969132,0.067840144,0.059611127,0.016362762
5733,0.010909545,0.053005882,0.041247081,0.035109613
5767,0.054862794,0.027171277,0.013096903,0.073469065
5800,0.124641858,-0.015747642,-0.022154903,0.119811624
5833,0.159871235,-0.077511832,-0.058443543,0.130928695
5867,0.120901495,-0.129107222,-0.085585356,0.080327228
5900,0.045752045,-0.133661687,-0.095656432,-0.00081625
5933,-0.003312778,-0.09943556,-0.091961563,-0.060035989
5967,-0.013849138,-0.072703026,-0.086010359,-0.078376003
6000,-0.009976815,-0.077010579,-0.084752366,-0.070467561
6033,-0.005738568,-0.094172567,-0.086289309,-0.05455026
6067,-0.004884338,-0.101493061,-0.08694277,-0.039341353
6100,-0.024782894,-0.096674532,-0.087234735,-0.033223625
6133,-0.088380888,-0.090289734,-0.091865867,-0.051747318
6167,-0.189055517,-0.095025867,-0.106008045,-0.101774015
6200,-0.278117239,-0.119862482,-0.130878776,-0.162098974
6233,-0.295776457,-0.164480701,-0.162087664,-0.194405913
6267,-0.224635348,-0.214840204,-0.190339699,-0.177357957
6300,-0.114858173,-0.243302956,-0.203451037,-0.12896575
6333,-0.036984652,-0.225746706,-0.192834511,-0.0897706
6367,-0.011281913,-0.168579727,-0.161423773,-0.079865165
6400,-0.006264058,-0.107165039,-0.122546472,-0.082637213
6433,0.005217725,-0.069853269,-0.089216992,-0.072732061
6467,0.011745133,-0.053781718,-0.065540165,-0.048456855
6500,-0.027247673,-0.040315922,-0.047600836,-0.036487769
6533,-0.134091109,-0.021834541,-0.02978668,-0.062654108
6567,-0.246888086,-0.002803767,-0.008831549,-0.108108036
6600,-0.251147389,0.016724002,0.016265629,-0.115981281
6633,-0.130860239,0.042998992,0.044690467,-0.065731995
6667,-0.000970209,0.074383624,0.073445462,-0.002946281
6700,0.049684916,0.099154644,0.098433346,0.029374406
6733,0.039699268,0.112415664,0.11682228,0.039086435
6767,0.0179291,0.12272729,0.12831901,0.048657984
6800,0.003907907,0.137679219,0.134208724,0.058642954
6833,-0.001954687,0.152830899,0.134534016,0.059661765
6867,-0.002638006,0.153397456,0.126214445,0.050307937
6900,0.000379693,0.126631439,0.106312886,0.033893105
6933,0.008614504,0.081569053,0.078181885,0.015227794
6967,0.025079831,0.047368523,0.051508565,0.00496788
